1,SP,Périgny,Shanxi,Shanxi,1
2,SP,Schaumburg,Heyin,Heyin,2
3,SP,Nandaime,Hukeng,Hukeng,3
4,SP,Besukrejo,Saint-Flour,Saint-Flour,4
5,SP,Ugljevik,San Miguel,San Miguel,5
6,SP,Feicheng,Alcala,Alcala,6
7,SP,Konggar,Cabarroguis,Cabarroguis,7
8,SP,Yerazgavors,Khlong Luang,Khlong Luang,8
9,SP,Kalde Panga,Xiayang,Xiayang,9
10,SP,Lecheng,Shengao,Shengao,10
11,SP,Rotterdam postbusnummers,Sa'dah,Sa'dah,11
12,SP,Pavlovsk,Älvdalen,Älvdalen,12
13,SP,Dom Pedro,Erling,Erling,13
14,SP,Khursā,København,København,14
15,SP,Bauang,Loyew,Loyew,15
16,SP,San Rafael,Temara,Temara,16
17,SP,Wang Saphung,Dauriya,Dauriya,17
18,SP,Blagaj,Lefkímmi,Lefkímmi,18
19,SP,Getafe,Torres Novas,Torres Novas,19
20,SP,Licupis,Qiangtou,Qiangtou,20
21,SP,Yanshi,Yuezhao,Yuezhao,21
22,SP,Yên Lập,Pringgoboyo,Pringgoboyo,22
23,SP,Reston,Nangaroro,Nangaroro,23
24,SP,Renxian,Mliwang,Mliwang,24
25,SP,Vetluga,Ajaccio,Ajaccio,25
26,SP,Kaulon,Solna,Solna,26
27,SP,Na Yong,Vicente Guerrero,Vicente Guerrero,27
28,SP,Thị Trấn Pác Miầu,Mayo,Mayo,28
29,SP,Kutno,Nanjing,Nanjing,29
30,SP,Nueva Fuerza,Pedregal,Pedregal,30
31,SP,Thị Trấn Quảng Uyên,Causip,Causip,31
32,SP,Azun Atme,Arles,Arles,32
33,SP,Loket,Buyun,Buyun,33
34,SP,Queimados,Yuxi,Yuxi,34
35,SP,Galleh Manda,Westport,Westport,35
36,SP,Cipadung,Jince,Jince,36
37,SP,Shabo,Liulin,Liulin,37
38,SP,He’an,Chucatamani,Chucatamani,38
39,SP,Thívai,Nurlat,Nurlat,39
40,SP,Oenpeotnai,Blagodarnyy,Blagodarnyy,40
41,SP,Tokorozawa,Alvito de São Pedro,Alvito de São Pedro,41
42,SP,Baipu,Rulong,Rulong,42
43,SP,Saýat,Heishan,Heishan,43
44,SP,Korisós,Paris 04,Paris 04,44
45,SP,Hayang,Sanshan,Sanshan,45
46,SP,Celorico de Basto,Nanzhao Chengguanzhen,Nanzhao Chengguanzhen,46
47,SP,Shichuan,Fasi,Fasi,47
48,SP,Jindong,Kuangsan,Kuangsan,48
49,SP,Türkmenbaşy,Ljungby,Ljungby,49
50,SP,Saint Ann’s Bay,Banjarjo,Banjarjo,50
51,SP,Крива Паланка,Beja,Beja,51
52,SP,Sakurai,Qitao,Qitao,52
53,SP,Bălţi,Kutacane,Kutacane,53
54,SP,Ruse,Shuikou,Shuikou,54
55,SP,Asunción Mita,Lazaro Cardenas,Lazaro Cardenas,55
56,SP,Sindang,Banjar Pedawa,Banjar Pedawa,56
57,SP,Dežanovac,Shapaja,Shapaja,57
58,SP,Dīvāndarreh,Przyborów,Przyborów,58
59,SP,Beitan,Uttaradit,Uttaradit,59
60,SP,Gimry,Stockholm,Stockholm,60
61,SP,Bongued,Jawa,Jawa,61
62,SP,Arnelas,Phu Sang,Phu Sang,62
63,SP,Ban Talat Bueng,Cijeungjing Kaler,Cijeungjing Kaler,63
64,SP,Woro,Belovodskoye,Belovodskoye,64
65,SP,Rabig,Wutumeiren,Wutumeiren,65
66,SP,Novolugovoye,Cayara,Cayara,66
67,SP,Macia,Nürnberg,Nürnberg,67
68,SP,Gravatá,Čortanovci,Čortanovci,68
69,SP,Vyshhorod,Simão Dias,Simão Dias,69
70,SP,Asia,Villa Ojo de Agua,Villa Ojo de Agua,70
71,SP,Duyun,Touama,Touama,71
72,SP,Saraqinishtë,Junkou,Junkou,72
73,SP,Hengjiang,Hamada,Hamada,73
74,SP,Severodvinsk,Itapuranga,Itapuranga,74
75,SP,Łopuszno,Vila Verde,Vila Verde,75
76,SP,Lhari,Iida,Iida,76
77,SP,Okpoma,Puerto Morazán,Puerto Morazán,77
78,SP,Staraya Russa,Lappeenranta,Lappeenranta,78
79,SP,Pancur,Grodków,Grodków,79
80,SP,Bačka Palanka,Thiais,Thiais,80
81,SP,Pasirputih,Mtwango,Mtwango,81
82,SP,Ndano,Tonghae,Tonghae,82
83,SP,Cascavel,Przyborów,Przyborów,83
84,SP,Leran,Jhumra,Jhumra,84
85,SP,Atambua,Tarui,Tarui,85
86,SP,Noenoni,Tiandiba,Tiandiba,86
87,SP,Rongcheng,Nagutskoye,Nagutskoye,87
88,SP,Karvia,Sengkerang Tiga,Sengkerang Tiga,88
89,SP,Lokokrangan,Lyon,Lyon,89
90,SP,Pacora,Mosrentgen,Mosrentgen,90
91,SP,Wonorejo,Železnice,Železnice,91
92,SP,Gore,Taoyuan,Taoyuan,92
93,SP,Karengan,Pniv,Pniv,93
94,SP,Kuala Terengganu,Cibinong Satu,Cibinong Satu,94
